año;subregion;total
2012;Afganistán;71
2012;Albania;2
2012;Alemania;4982
2012;Andorra;4
2012;Angola;48
2012;Antigua y Barbuda;11
2012;Arabia Saudita;102
2012;Argelia;40
2012;Argentina;13186
2012;Aruba;10742
2012;Australia;1602
2012;Austria;102
2012;Azerbaiyán;9
2012;Bahamas;374
2012;Bahréin;4
2012;Bangladesh;2
2012;Barbados;30
2012;Belice;10
2012;Benín;2
2012;Bermudas/Territorio Británico de Ultramar;3
2012;Bolivia;1276
2012;Botsuana;3
2012;Brasil;9633
2012;Brunei Darussalam;1
2012;Bulgaria;7
2012;Burkina Faso;4
2012;Burundi;1
2012;Bélgica;354
2012;Cabo Verde;1
2012;Camboya;1
2012;Camerún;3
2012;Canadá;9351
2012;Chad;2
2012;Chile;10930
2012;China;1143
2012;Chipre;4
2012;Costa Rica;4929
2012;Costa de Marfil;2
2012;Croacia;4
2012;Cuba;2825
2012;Curazao;2487
2012;Desconocido;55
2012;Dinamarca;74
2012;Dominica;35
2012;Ecuador;55261
2012;Egipto;247
2012;El Salvador;2396
2012;Emiratos Árabes;292
2012;Eritrea;2
2012;Eslovaquia;6
2012;Eslovenia;9
2012;España;37041
2012;Estados Unidos de América;134363
2012;Estonia;1
2012;Etiopia;6
2012;Federación de Rusia;113
2012;Filipinas;23
2012;Finlandia;34
2012;Francia;4594
2012;Gabón;11
2012;Georgia;5
2012;Ghana;5
2012;Gibraltar/Territorio Británico de Ultramar;1
2012;Granada;2
2012;Grecia;19
2012;Guadalupe/Territorio Francés;1
2012;Guatemala;1593
2012;Guinea;17
2012;Guinea Bissau;1
2012;Guinea Ecuatorial;41
2012;Guyana;23
2012;Haití;81
2012;Honduras;808
2012;Hong Kong;137
2012;Hungría;18
2012;India;169
2012;Indonesia;29
2012;Iraq;16
2012;Irán;14
2012;Isla de Man;1
2012;Islandia;10
2012;Islas Caimán/Territorio Británico de Ultramar;73
2012;Islas Cook;1
2012;Islas Turcas y Caicos/Territorio Británico de Ultramar;2
2012;Islas Vírgenes Británicas/Territorio Británico de Ultramar;2
2012;Israel;470
2012;Italia;2932
2012;Jamaica;369
2012;Japón;209
2012;Jordania;9
2012;Kazajistán;9
2012;Kenia;13
2012;Kuwait;10
2012;Letonia;6
2012;Liberia;1
2012;Liechtenstein;2
2012;Lituania;5
2012;Luxemburgo;13
2012;Líbano;50
2012;Madagascar;3
2012;Malasia;42
2012;Malta;21
2012;Malí;1
2012;Marruecos;18
2012;Martinica/Departamento de Ultramar Francés;4
2012;Mauricio;1
2012;Mongolia;1
2012;Montenegro;1
2012;Mozambique;9
2012;México;18873
2012;Mónaco;4
2012;Nauru;2
2012;Nicaragua;322
2012;Nigeria;57
2012;Niue;1
2012;Noruega;124
2012;Nueva Caledonia/Territorio francés;2
2012;Nueva Zelanda;101
2012;Omán;10
2012;Pakistán;3
2012;Palau;1
2012;Palestina;2
2012;Panamá;61020
2012;Papúa Nueva Guinea;8
2012;Paraguay;264
2012;Países Bajos;4095
2012;Perú;17077
2012;Polinesia Francesa/Colectividad de Ultramar Francesa;1
2012;Polonia;43
2012;Portugal;116
2012;Puerto Rico/Territorio de Estados Unidos;1045
2012;Qatar;32
2012;Reino Unido de Gran Bretaña e Irlanda del Norte;3770
2012;República Checa;31
2012;República Democrática de Timor Oriental;2
2012;República Democrática del Congo;25
2012;República Dominicana;6574
2012;República de Belarús;51
2012;República de Corea;79
2012;República de Irlanda;48
2012;República de Moldavia;3
2012;República Árabe de Yemen;1
2012;Reunión;6
2012;Rumania;18
2012;San Cristóbal y Nevis;1
2012;Santa Lucia;3
2012;Senegal;3
2012;Serbia;3
2012;Singapur;61
2012;Sri Lanka;3
2012;Suazilandia;1
2012;Sudáfrica;78
2012;Sudán;3
2012;Suecia;481
2012;Suiza;1140
2012;Surinam;18
2012;Tailandia;28
2012;Taiwán;15
2012;Tanzania;1
2012;Trinidad y Tobago;283
2012;Turquía;60
2012;Túnez;3
2012;Ucrania;1
2012;Uganda;2
2012;Uruguay;340
2012;Vanuatu;2
2012;Venezuela;80799
2012;Vietnam;5
2012;Yugoslavia;1
2012;Zambia;1
